head_dim,seq_length,mean_ms,std_ms,min_ms,max_ms
16,256,0.19,0.01,0.18,0.24
16,1024,0.34,0.01,0.34,0.39
16,4096,3.90,0.01,3.87,3.96
16,8192,14.55,0.09,14.43,14.87
16,16384,69.21,0.26,68.68,69.96
32,256,0.19,0.01,0.18,0.25
32,1024,0.36,0.01,0.35,0.38
32,4096,4.14,0.01,4.12,4.18
32,8192,15.56,0.13,15.40,15.95
32,16384,74.20,0.23,73.69,74.96
64,256,0.19,0.01,0.18,0.25
64,1024,0.38,0.01,0.37,0.42
64,4096,4.43,0.01,4.40,4.46
64,8192,16.82,0.20,16.54,17.31
64,16384,81.10,0.27,80.56,82.37
128,256,0.19,0.01,0.18,0.26
128,1024,0.43,0.01,0.43,0.48
128,4096,5.37,0.01,5.36,5.42
128,8192,20.77,0.39,20.40,22.15
128,16384,94.23,0.35,93.58,95.73
