head_dim,seq_length,mean_ms,std_ms,min_ms,max_ms
16,256,0.26,0.01,0.24,0.33
16,1024,0.66,0.00,0.66,0.67
16,4096,8.82,0.05,8.78,8.94
16,8192,34.02,0.06,33.90,34.15
32,256,0.27,0.01,0.25,0.34
32,1024,0.67,0.00,0.67,0.69
32,4096,9.01,0.03,8.98,9.13
32,8192,34.94,0.07,34.79,35.07
64,256,0.26,0.01,0.24,0.33
64,1024,0.70,0.00,0.69,0.72
64,4096,9.25,0.01,9.23,9.29
16,256,0.26,0.01,0.23,0.33
16,1024,0.66,0.01,0.66,0.71
16,4096,8.81,0.04,8.79,8.96
16,8192,34.07,0.07,33.93,34.24
32,256,0.27,0.01,0.25,0.33
32,1024,0.67,0.00,0.67,0.69
32,4096,9.03,0.04,9.00,9.13
32,8192,34.97,0.07,34.84,35.15
64,256,0.26,0.01,0.23,0.32
64,1024,0.69,0.00,0.69,0.71
64,4096,9.25,0.01,9.23,9.28
64,8192,35.93,0.12,35.71,36.29
128,256,0.26,0.01,0.24,0.34
128,1024,0.75,0.00,0.74,0.76
128,4096,10.13,0.04,10.09,10.25
128,8192,39.56,0.20,39.10,39.99
